n_uni_tokens,n_bpe_tokens,n_chars,n_lines,valid_uni_chunk,valid_bpe_chunk
96,98,335,5,False,False
98,98,352,6,False,False
86,91,306,6,False,False
94,99,335,6,False,False
93,97,325,6,False,False
354,354,1237,22,True,True
313,320,1024,21,True,True
220,230,773,14,True,True
77,80,353,8,False,False
89,98,333,5,False,False
86,88,337,5,False,False
84,89,309,5,False,False
97,99,343,6,False,False
98,108,314,8,False,False
113,115,359,7,False,False
95,101,327,5,False,False
97,102,342,6,False,False
92,92,311,6,False,False
391,399,1361,27,True,True
470,475,1601,37,True,True
90,99,363,7,False,False
90,101,350,10,False,False
93,101,323,6,False,False
100,104,335,5,False,False
103,111,365,7,False,False
99,103,314,6,False,False
94,96,307,5,False,False
89,88,307,5,False,False
102,98,308,6,False,False
90,93,328,6,False,False
96,96,318,7,False,False
102,100,314,6,False,False
85,85,301,6,False,False
102,98,333,7,False,False
121,115,355,9,False,False
99,103,337,5,False,False
106,111,366,6,False,False
102,100,329,6,False,False
104,103,319,7,False,False
93,94,331,6,False,False
90,88,311,7,False,False
80,82,301,6,False,False
90,94,318,7,False,False
80,78,307,7,False,False
97,99,347,9,False,False
85,92,317,7,False,False
102,108,346,9,False,False
96,100,340,8,False,False
81,82,301,6,False,False
89,97,320,7,False,False
256,258,985,20,True,True
298,307,999,24,True,True
175,91,499,8,True,False
99,105,320,10,False,False
106,112,371,11,False,False
163,164,578,11,True,True
75,83,308,9,False,False
136,145,518,9,True,True
418,435,1443,30,True,True
138,142,487,11,True,True
88,103,365,9,False,False
321,314,1138,21,True,True
92,92,303,8,False,False
155,159,553,11,True,True
103,109,359,8,False,False
105,105,398,8,False,False
124,127,409,9,False,False
91,91,325,7,False,False
128,129,480,12,True,True
96,97,371,7,False,False
94,96,385,9,False,False
91,91,338,9,False,False
174,183,603,13,True,True
190,190,652,15,True,True
162,164,469,11,True,True
60,63,319,7,False,False
76,78,302,6,False,False
151,158,588,10,True,True
121,128,483,12,False,True
240,265,913,14,True,True
229,233,855,16,True,True
80,85,331,10,False,False
88,94,360,6,False,False
93,100,319,7,False,False
82,84,338,7,False,False
87,90,312,7,False,False
93,97,320,9,False,False
85,94,308,7,False,False
453,474,1593,37,True,True
310,319,1114,24,True,True
